State,State Ab.,State Capital,Population,ORI Code,No. of Officers,Year of Data,No. of Rapes,No. of Simple Assaults,No. of Stolen Property Cases,Total Crimes,School Ratings,,Unemployment Rate,,Avg. Income,,"Crimes(R,SA,SP) Per Citizen",School Correlation?,Unemploy. Correlation?,Income Correlation?
ALABAMA,AL,Montgomery,"198,525",AL0030100,474,2018,3,102,13,118,4.35,,3.04,,"$48,486.00 ",,0.000594,n,,
ALASKA,AK,Juneau,"32,113",AK0010300,47,2018,5,291,4,300,6.5,,3.8,,"$76,715.00 ",,0.009342,n,,
ARIZONA,AZ,Phoenix,"1,680,992",AZ0072300,2919,2018,103,5726,364,6193,4.72,,3.03,,"$56,213.00 ",,0.003684,m,,
ARKANSAS,AR,Little Rock,"197,312",AR0600200,575,2018,28,947,291,1266,3.64,,2.53,,"$45,726.00 ",,0.006416,y,,
CALIFORNIA,CA,Sacramento,"513,624",CA0340400,651,2018,30,1309,281,1620,4.63,,3.38,,"$71,228.00 ",,0.003154,y,,
COLORADO,CO,Denver,"727,211",CODPD0000,1517,2018,143,3435,132,3710,3.75,,2.52,,"$68,811.00 ",,0.005102,y,,
CONNECTICUT,CT,Hartford,"122,105",CT0006400,394,2018,17,1780,9,1806,2.8,,3.52,,"$76,106.00 ",,0.014791,m,,
DELAWARE,DE,Dover,"38,079",DE0010100,101,2018,5,512,26,543,0,,3,,"$65,627.00 ",,0.01426,?,,
FLORIDA,FL,Tallahassee,"194,500",FL0370300,377,2017,45,713,8,766,5,,3.02,,"$53,267.00 ",,0.003938,m,,
GEORGIA,GA,Atlanta,"506,811",GAAPD0000,1535,2017,45,2144,511,2700,3.85,,3.14,,"$55,679.00 ",,0.005327,y,,
HAWAII,HI,Honolulu,"345,064",HI0020000,1942,2018,51,2407,449,2907,6.33,,2.25,,"$78,084.00 ",,0.008425,n,,
IDAHO,ID,Boise,"228,959",ID0010100,292,2018,54,741,21,816,4.11,,2.23,,"$53,089.00 ",,0.003564,n,,
ILLINOIS,IL,Springfield,"114,230",IL0840200,239,2018,0,0,0,0,3.84,,3.41,,"$63,575.00 ",,0,m,,
INDIANA,IN,Indianapolis,"876,384",INIPD0000,2080,2018,81,3206,124,3411,2.78,,2.73,,"$54,325.00 ",,0.003892,,,
