State,State Ab.,State Capital,Population,ORI Code
Alabama,AL,Montgomery,"198,525",AL0030100
Alaska,AK,Juneau,"32,113",AK0010300
Arizona,AZ,Phoenix,"1,680,992",AZ0072300
Arkansas,AR,Little Rock,"197,312",AR0600200
California,CA,Sacramento,"513,624",CA0340400
Colorado,CO,Denver,"727,211",CODPD0000
Connecticut,CT,Hartford,"122,105",CT0006400
Delaware,DE,Dover,"38,079",DE0010100
Florida,FL,Tallahassee,"194,500",FL0370300
Georgia,GA,Atlanta,"506,811",GAAPD0000
Hawaii,HI,Honolulu,"345,064",HI0020000
Idaho,ID,Boise,"228,959",ID0010100
Illinois,IL,Springfield,"114,230",IL0840200
Indiana,IN,Indianapolis,"876,384",INIPD0000
Iowa,IA,Des Moines,"214,237",IA0770300
Kansas,KS,Topeka,"125,310",KS0890100
Kentucky,KY,Frankfort,"27,679",KY0370100
Louisiana,LA,Baton Rouge,"220,236",LA0170200
Maine,ME,Augusta,"18,681",ME0060100
Maryland,MD,Annapolis,"39,174",MD0020100
Massachusetts,MA,Boston,"692,600",MA0130100
Michigan,MI,Lansing,"118,210",MI3351900
Minnesota,MN,Saint Paul,"308,096",MN0620900
Mississippi,MS,Jackson,"160,628",MS0250100
Missouri,MO,Jefferson City,"42,838",MO0260100
Montana,MT,Helena,"32,315",MT0250100
Nebraska,NE,Lincoln,"289,102",NB0550100
Nevada,NV,Carson City,"55,916",NV0130000
New Hampshire,NH,Concord,"43,627",NH0071600
New Jersey,NJ,Trenton,"83,203",NJ0111100
New Mexico,NM,Santa Fe,"84,683",NM0260100
New York,NY,Albany,"96,460",NY0010100
North Carolina,NC,Raleigh,"474,069",NC0920100
North Dakota,ND,Bismarck,"73,529",ND0080100
Ohio,OH,Columbus,"898,553",OHCOP0000
Oklahoma,OK,Oklahoma City,"655,057",OK0550400
Oregon,OR,Salem,"174,365",OR0240200
Pennsylvania,PA,Harrisburg,"49,528",PA0220200
Rhode Island,RI,Providence,"179,883",RI0010200
South Carolina,SC,Columbia,"131,674",SC0400100
South Dakota,SD,Pierre,"13,646",SD0320100
Tennessee,TN,Nashville,"670,820",TN0190100
Texas,TX,Austin,"978,908",TX2270100
Utah,UT,Salt Lake City,"200,567",UT0180300
Vermont,VT,Montpelier,"7,855",VT0120200
Virginia,VA,Richmond,"230,436",VA1220000
Washington,WA,Olympia,"46,478",WA0340100
West Virginia,WV,Charleston,"46,536",WV0200200
Wisconsin,WI,Madison,"259,680",WI0130100
Wyoming,WY,Cheyenne,"64,235",WY0110100
