State,State Ab.,State Capital,Population,ORI Code,Simple Assault Cases,Stolen Property Cases,Rape Cases,No. of Offenses,Male Officers,Female Officers,No. of Officers
MARYLAND,MD,Annapolis,"39,174",MD0020100,162.0,3.0,5.0,170.0,106.0,13.0,119.0
MASSACHUSETTS,MA,Boston,"692,600",MA0130100,1612.0,169.0,43.0,1824.0,1839.0,283.0,2122.0
MICHIGAN,MI,Lansing,"118,210",MI3351900,791.0,22.0,17.0,830.0,149.0,39.0,188.0
MINNESOTA,MN,Saint Paul,"308,096",MN0620900,984.0,43.0,16.0,1043.0,540.0,91.0,631.0
MISSISSIPPI,MS,Jackson,"160,628",MS0250100,445.0,106.0,8.0,559.0,,,
MISSOURI,MO,Jefferson City,"42,838",MO0260100,260.0,0.0,3.0,263.0,82.0,6.0,88.0
MONTANA,MT,Helena,"32,315",MT0250100,239.0,2.0,5.0,246.0,45.0,7.0,52.0
NEBRASKA,NE,Lincoln,"289,102",NB0550100,1301.0,55.0,19.0,1375.0,288.0,56.0,344.0
NEVADA,NV,Carson City,"55,916",NV0130000,46.0,17.0,6.0,69.0,90.0,5.0,95.0
NEW HAMPSHIRE,NH,Concord,"43,627",NH0071600,340.0,51.0,1.0,392.0,69.0,13.0,82.0
NEW JERSEY,NJ,Trenton,"83,203",NJ0111100,652.0,125.0,6.0,783.0,246.0,41.0,287.0
NEW MEXICO,NM,Santa Fe,"84,683",NM0260100,66.0,43.0,3.0,112.0,131.0,19.0,150.0
NEW YORK,NY,Albany,"96,460",NY0010100,234.0,35.0,9.0,278.0,286.0,30.0,316.0
NORTH CAROLINA,NC,Raleigh,"474,069",NC0920100,,,,,656.0,76.0,732.0
NORTH DAKOTA,ND,Bismarck,"73,529",ND0080100,406.0,53.0,7.0,466.0,114.0,13.0,127.0
RHODE ISLAND,RI,Providence,"179,883",ND0080100,406.0,53.0,7.0,466.0,114.0,13.0,127.0
OHIO,OH,Columbus,"898,553",OHCOP0000,1966.0,139.0,53.0,2158.0,1666.0,204.0,1870.0
OKLAHOMA,OK,Oklahoma City,"655,057",OK0550400,417.0,34.0,3.0,454.0,89.0,7.0,96.0
OREGON,OR,Salem,"174,365",OR0240200,630.0,37.0,18.0,685.0,173.0,17.0,190.0
PENNSYLVANIA,PA,Harrisburg,"49,528",PA0220200,261.0,38.0,22.0,321.0,121.0,18.0,139.0
